temperature_c,humidity_pct,wind_speed_kmh,rainfall_mm,tree_age_years,soil_type,growth_stage,water_need_liters
30.1,46.9,2.9,4.3,22,Clay,Vegetative,0.0
20.7,43.0,7.9,0.4,11,Sandy,Fruiting,6.0
33.3,62.8,4.5,3.2,26,Loam,Vegetative,0.4
34.6,59.5,2.7,3.0,2,Sandy,Flowering,0.0
14.3,29.7,3.1,0.7,1,Sandy,Flowering,0.1
18.9,75.2,16.6,7.7,28,Loam,Fruiting,1.1
28.9,53.3,8.9,2.0,6,Loam,Flowering,4.6
25.8,35.0,16.7,1.3,29,Loam,Vegetative,5.8
27.9,76.4,21.2,1.2,9,Loam,Flowering,1.7
22.0,66.3,8.5,1.3,11,Loam,Vegetative,2.5
34.2,32.2,7.9,0.2,1,Clay,Flowering,0.9
33.4,87.0,1.3,4.2,28,Sandy,Flowering,4.0
28.5,66.9,5.8,8.9,11,Loam,Fruiting,0.0
35.9,54.8,2.9,6.5,5,Loam,Vegetative,0.0
31.3,83.6,19.8,1.4,15,Loam,Vegetative,0.0
22.0,57.9,2.6,3.8,5,Clay,Flowering,2.3
30.6,54.5,3.2,1.2,23,Sandy,Vegetative,5.6
21.3,43.1,20.4,0.5,3,Loam,Vegetative,0.0
34.1,65.5,31.2,1.4,15,Clay,Vegetative,5.6
27.7,63.6,8.0,1.4,12,Loam,Flowering,3.6
26.7,55.3,6.6,0.6,2,Loam,Vegetative,0.4
23.2,40.8,2.7,1.5,2,Clay,Flowering,0.0
36.6,57.3,11.7,1.8,16,Sandy,Fruiting,11.4
26.9,53.7,5.5,0.9,12,Loam,Flowering,3.3
25.0,31.0,6.1,0.2,4,Clay,Vegetative,0.1
25.5,28.5,5.4,0.8,5,Sandy,Vegetative,5.6
31.7,65.2,5.1,6.2,24,Loam,Vegetative,0.0
30.6,10.0,2.7,2.4,22,Loam,Flowering,5.2
30.9,58.7,33.6,1.1,18,Clay,Fruiting,8.8
31.0,46.4,10.7,0.9,25,Clay,Vegetative,2.7
43.0,78.5,32.6,3.1,3,Clay,Vegetative,0.5
25.2,46.1,36.1,0.6,20,Sandy,Vegetative,6.7
24.4,66.9,3.7,0.7,22,Loam,Vegetative,0.1
22.3,47.9,5.3,5.3,6,Clay,Fruiting,0.4
32.3,57.0,12.2,1.7,16,Loam,Vegetative,2.7
35.9,68.3,3.3,0.5,23,Loam,Vegetative,7.0
